node,heuristic_score
1376,0.503912
1377,0.503912
1378,0.503912
1379,0.503912
1380,0.503912
1381,0.503912
1382,0.503912
1383,0.503912
1384,0.503912
1385,0.503912
1386,0.503912
1387,0.503912
1388,0.503912
1389,0.503912
1390,0.503912
1391,0.503912
1392,0.503912
1393,0.503912
1394,0.00723787
1395,0.0105634
1396,0.503912
1397,0.0238654
1398,0.503912
1399,0.503912
1400,0.503912
1401,0.0172144
1402,0.503912
1403,0.503912
1404,0.503912
1405,0.503912
1406,0.503912
1407,0.00723787
1408,0.503912
1409,0.503912
1410,0.503912
1411,0.503912
1412,0.503912
1413,0.503912
1414,0.503912
1415,0.0172144
1416,0.0172144
1417,0.503912
1418,0.503912
1419,0.503912
1420,0.503912
1421,0.503912
1422,0.503912
1423,0.503912
1424,0.0138889
1425,0.503912
1426,0.503912
1427,0.503912
1428,0.503912
1429,0.0371674
1430,0.503912
1431,0.0271909
1432,0.503912
1433,0.503912
1434,0.503912
1435,0.503912
1436,0.503912
1437,0.503912
1438,0.503912
1439,0.503912
1440,0.0138889
1441,0.503912
1442,0.503912
1443,0.503912
1444,0.503912
1445,0.0305164
1446,0.503912
1447,0.503912
1448,0.503912
1449,0.503912
1450,0.503912
1451,0.503912
1452,0.503912
1453,0.00723787
1454,0.503912
1455,0.503912
1456,0.503912
1457,0.503912
1458,0.503912
1459,0.503912
1460,0.503912
1461,0.503912
1462,0.0105634
1463,0.0138889
1464,0.00723787
1465,0.503912
1466,0.503912
1467,0.503912
1468,0.503912
1469,0.0105634
1470,0.503912
1471,0.0105634
1472,0.503912
1473,0.503912
1474,0.503912
1475,0.503912
1476,0.503912
1477,0.0172144
1478,0.503912
1479,0.503912
1480,0.503912
1481,0.503912
1482,0.503912
1483,0.503912
1484,0.503912
1485,0.503912
1486,0.503912
1487,0.503912
1488,0.503912
1489,0.503912
1490,0.503912
1491,0.503912
1492,0.503912
1493,0.503912
1494,0.503912
1495,0.503912
1496,0.503912
1497,0.503912
1498,0.00723787
1499,0.503912
1500,0.503912
1501,0.503912
1502,0.0138889
1503,0.503912
1504,0.503912
1505,0.0305164
1506,0.503912
1507,0.0371674
1508,0.503912
1509,0.503912
1510,0.503912
1511,0.503912
1512,0.0138889
1513,0.503912
1514,0.503912
1515,0.503912
1516,0.503912
1517,0.503912
1518,0.503912
1519,0.503912
1520,0.503912
1521,0.503912
1522,0.503912
1523,0.503912
1524,0.503912
1525,0.503912
1526,0.503912
1527,0.503912
1528,0.503912
1529,0.503912
1530,0.00723787
1531,0.503912
1532,0.503912
1533,0.503912
1534,0.503912
1535,0.503912
1536,0.503912
1537,0.503912
1538,0.503912
1539,0.503912
1540,0.503912
1541,0.00723787
1542,0.503912
1543,0.503912
1544,0.503912
1545,0.503912
1546,0.503912
1547,0.0105634
1548,0.503912
1549,0.503912
1550,0.503912
1551,0.503912
1552,0.503912
1553,0.503912
1554,0.503912
1555,0.503912
1556,0.503912
1557,0.503912
1558,0.503912
1559,0.503912
1560,0.503912
1561,0.503912
1562,0.503912
1563,0.503912
1564,0.503912
1565,0.503912
1566,0.503912
1567,0.00723787
1568,0.503912
1569,0.00723787
1570,0.503912
1571,0.503912
1572,0.503912
1573,0.503912
1574,0.503912
1575,0.503912
1576,0.503912
1577,0.503912
1578,0.503912
1579,0.503912
1580,0.503912
1581,0.503912
1582,0.503912
1583,0.503912
1584,0.0172144
1585,0.503912
1586,0.0138889
1587,0.503912
1588,0.503912
1589,0.503912
1590,0.503912
1591,0.503912
1592,0.503912
1593,0.503912
1594,0.503912
1595,0.0172144
1596,0.503912
1597,0.503912
1598,0.503912
1599,0.0105634
1600,0.0138889
1601,0.503912
1602,0.503912
1603,0.503912
1604,0.503912
1605,0.503912
1606,0.503912
1607,0.503912
1608,0.503912
1609,0.503912
1610,0.503912
1611,0.00723787
1612,0.503912
1613,0.503912
1614,0.503912
1615,0.503912
1616,0.503912
1617,0.503912
1618,0.503912
1619,0.503912
1620,0.503912
1621,0.503912
1622,0.503912
1623,0.503912
1624,0.503912
1625,0.503912
1626,0.503912
1627,0.503912
1628,0.503912
1629,0.503912
1630,0.503912
1631,0.503912
1632,0.503912
1633,0.503912
1634,0.503912
1635,0.503912
1636,0.503912
1637,0.503912
1638,0.503912
